x
-1 1
1 0 1
2 0 1
3 0 0.9375
4 0 0.9375
5 0 1
6 0 1
7 0 0.33333
8 0 1
9 0 1
10 0 103
11 0 3
12 0 1
13 0.22222 1
14 0 2
15 0 2
16 0 1
17 0 1
18 0 1
19 0 1
20 0 2
21 0 1
22 0 1
23 0 1
24 0 1
25 0 1
26 0 1
27 0 1
28 0 2
29 0 1
30 0 2
31 0 1
32 0 1
33 0 1
34 0 1
35 0 1
36 0 1
37 0 2
38 0 2
39 0 0.33333
40 0 1
41 0 1
42 0 1
43 0 1
44 0 1
45 0 1
46 0 2
47 0 2
48 0 1
49 0 2
50 0 1
51 0 2
52 0 5
53 0 5
54 0 1
55 0 1
56 0 2
57 0 1
58 0 1
59 0 1
60 0 1
61 0 2
62 0 2
63 0 3
64 0 1
65 0 1
66 0 1
67 0 1
68 0 1
69 0 1
70 0 1
71 0 1
72 0 1
73 0 1
74 0 1
75 0 1
76 0 1
77 0 1
78 0 1
79 0 2
80 0 1
81 0 2
82 0 1
83 0 1
84 0 1
85 0 1
86 0 1
87 0 1
88 0 1
89 0 2
90 0 1
91 0 2
92 0 1
93 0 2
94 0 1
95 0 1
96 0 1
97 0 2
98 0 1
99 0 1
100 0 2
101 0 1
102 0 1
103 0 2
104 0 1
105 0 1
106 0 1
107 0 1
108 0 1
109 0 1
110 0 1
111 0 1
112 0 2
113 0 1
114 0 1
115 0 1
116 0 2
117 0 2
118 0 2
119 0 1
120 0 2
121 0 1
122 0 1
123 0 1
124 0 1
125 0 0.5555600000000001
126 0 103
127 0 2
128 0 1
129 0 1
130 0 1
131 0 2
132 0 1
133 0 2
134 0 2
135 0 1
